"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","TFL","MT","CTGT"
"","62235","","387547","","Shaun Myers","COLORADO","40","LB","144","9","13","3","1","6"
"","70946","","386522","","Tate Romney","ARIZONA ST","24","LB","76","7","9","0","3","5"
"","73609","","358271","","Trent Whalen","ARKANSAS","26","LB","32","6","7","0","0","6"
"","74119","","406638","","Taariq Al-Uqdah","WASHINGTON","03","LB","152","3","15","1","1","9"
"","74152","","400296","","Ryan Quintanar","USC","51","LB","5","1","0","0","1","0"
"","81437","","351682","","Moroni Anae","UTAH","24","LB","31","6","4","0","1","0"
"","86267","","386091","","Kalib Perry","LOUISVILLE","12","LB","241","8","33","2","6","16"
"","97751","","326432","","Mohamed Toure","MIAMI FL","01","LB","346","8","49","0","7","34"
"","100457","","341039","","Levani Damuni","UTAH","03","LB","186","9","19","0","1","6"
"","101373","","336472","","Javin Wright","NEBRASKA","00","LB","385","8","60","6","5","26"
"","101480","","350353","","Joey Velazquez","OHIO STATE","39","LB","3","1","0","0","0","0"
"","101506","","340219","","Derik LeCaptain","MINNESOTA","35","LB","2","1","0","0","0","0"
"","122396","","348418","","Stephen Dix Jr.","ARKANSAS","14","LB","454","9","57","3","5","19"
"","122461","","348466","","Marques Watson-Trent","NEBRASKA","33","LB","218","8","27","0","5","8"
"","122610","","388803","","Beau Palmer","KANSAS ST","57","LB","2","1","0","0","0","0"
"","122740","","347950","","Tahj Chambers","OLE MISS","26","LB","194","8","22","1","4","10"
"","122986","","348620","","Jeff Roberson","MINNESOTA","20","LB","39","5","6","0","3","1"
"","123012","","348069","","Bangally Kamara","KANSAS","01","LB","361","8","42","6","19","15"
"","123054","","372992","","Anwar Sparrow","SYRACUSE","12","LB","225","8","25","2","5","10"
"","123055","","348364","","Stefon Thompson","FLORIDA ST","07","LB","102","6","16","0","2","4"
"","123146","","362605","","Trent Low","TEXAS TECH","34","LB","6","1","1","0","0","1"
"","123156","","348299","","Bryce Ramirez","TEXAS TECH","03","LB","110","7","15","0","3","6"
"","123224","","349121","","Jesus Machado","HOUSTON","02","LB","15","2","2","0","0","1"
"","123556","","381406","","Ben Blevins","CINCINNATI","45","LB","13","1","3","0","1","0"
"","124277","","386910","","Martavius French","COLORADO","37","LB","288","8","26","2","7","14"
"","126465","","385641","","Langston Patterson","VANDERBILT","10","LB","283","9","49","1","10","17"
"","126548","","406713","","Michael Teason","TCU","27","LB","27","2","5","1","0","1"
"","128170","","351175","","Chase Wilson","W VIRGINIA","30","LB","385","8","39","3","8","26"
"","129186","","406933","","Arion Carter","TENNESSEE","07","LB","389","8","62","2","7","26"
"","129582","","350313","","Nikhai Hill-Green","ALABAMA","41","LB","234","8","31","2","7","11"
"","129635","","350772","","Darius Snow","MICH STATE","23","LB","173","9","19","1","2","5"
"","129739","","378648","","Nigel Williams","LOUISVILLE","33","LB","22","2","2","0","0","1"
"","130573","","351168","","Daveren Rayner","KENTUCKY","07","LB","338","8","46","3","6","12"
"","131789","","351045","","Choe Bryant-Strother","BYU","33","LB","17","1","2","0","0","1"
"","131815","","351063","","JonJon Vaughns","UCLA","06","LB","435","8","80","3","4","18"
"","131853","","351704","","Sione Fotu","HOUSTON","12","LB","392","9","46","0","5","11"
"","131919","","406945","","Anthony Ward","WASHINGTON","57","LB","15","3","1","0","0","1"
"","143832","","368454","","Owen McGowan","BOSTON COL","33","LB","519","9","44","4","8","21"
"","143838","","362293","","Bryce Steele","BOSTON COL","08","LB","123","6","14","0","3","5"
"","143853","","362131","","Tre Freeman","DUKE","12","LB","325","8","36","3","7","15"
"","143867","","386176","","Nick Morris Jr.","DUKE","36","LB","150","4","19","4","5","5"
"","143952","","368271","","Chase Smith","MIAMI FL","41","LB","114","8","15","0","5","8"
"","143986","","368558","","Sean Brown","NC STATE","00","LB","298","5","41","4","6","26"
"","143992","","373110","","Caden Fordham","NC STATE","01","LB","560","9","89","3","11","44"
"","144027","","386027","","Nick Lapi","PITTSBURGH","31","LB","97","6","14","2","1","2"
"","144059","","384848","","Derek McDonald","SYRACUSE","15","LB","90","3","7","0","0","6"
"","144083","","395571","","Will Johnson","VA TECH","53","LB","4","1","0","0","0","0"
"","144086","","380884","","Jaden Keller","VA TECH","24","LB","285","8","35","2","8","21"
"","144087","","362359","","Keli Lawson","UCF","00","LB","240","8","16","0","3","17"
"","144092","","368289","","Jayden McDonald","UCF","38","LB","126","8","12","0","1","4"
"","144145","","359618","","Jaylin Alderman","MIAMI FL","21","LB","32","3","4","0","1","6"
"","144173","","384791","","TJ Quinn","LOUISVILLE","34","LB","456","8","61","5","9","26"
"","144181","","362233","","Quincy Bryant","WAKE","09","LB","249","8","39","3","8","7"
"","144192","","366082","","Dylan Hazen","WAKE","24","LB","319","8","42","5","10","14"
"","144217","","386681","","Jack Dingle","CINCINNATI","49","LB","319","8","34","0","3","4"
"","144248","","360052","","Jalen Garner","HOUSTON","36","LB","471","9","57","0","12","26"
"","144268","","368528","","Andrew Jones","OLE MISS","44","LB","112","5","14","2","1","4"
"","144431","","368353","","Corey Platt Jr.","HOUSTON","09","LB","238","8","31","0","5","9"
"","144572","","362220","","Jayson Gilliom","KANSAS","10","LB","45","5","11","0","1","1"
"","144579","","428844","","Cole Mondi","KANSAS","39","LB","3","1","2","0","0","0"
"","144611","","388807","","Desmond Purnell","KANSAS ST","32","LB","542","9","50","4","11","33"
"","144612","","385300","","Krew Jackson","ARIZONA ST","43","LB","10","3","3","0","0","0"
"","144699","","362498","","Landyn Watson","KENTUCKY","09","LB","153","8","12","1","5","8"
"","144707","","385953","","Luke Lingard","TCU","51","LB","1","1","0","0","0","0"
"","144737","","423528","","Marshall Landwehr","TEXAS","51","LB","9","2","1","0","0","0"
"","144766","","376720","","Gage Elder","TEXAS TECH","35","LB","9","1","1","0","0","0"
"","144816","","382582","","Dylan Rosiek","ILLINOIS","28","LB","275","7","43","2","2","15"
"","144818","","377096","","Kenenna Odeluga","ILLINOIS","39","LB","116","9","13","1","2","9"
"","144819","","359519","","Luke Zardzin","ILLINOIS","42","LB","30","3","7","0","0","1"
"","144864","","386327","","Jaxon Rexroth","IOWA","12","LB","137","8","16","2","1","9"
"","144871","","406794","","Jaden Harrell","IOWA","41","LB","240","6","34","1","9","13"
"","144872","","415840","","Zach Twedt","IOWA","42","LB","4","1","1","0","0","0"
"","144873","","378657","","Karson Sharar","IOWA","43","LB","430","8","54","5","10","27"
"","144984","","385308","","Devon Williams","MINNESOTA","09","LB","496","9","70","3","10","22"
"","145013","","361603","","Mikai Gbayor","N CAROLINA","04","LB","178","8","25","1","3","6"
"","145023","","412024","","Michael Booker III","NEBRASKA","43","LB","25","2","3","0","1","0"
"","145047","","384498","","Mac Uihlein","NWESTERN","37","LB","440","8","58","5","16","23"
"","145069","","359681","","Reid Carrico","W VIRGINIA","35","LB","367","9","42","2","9","15"
"","145095","","366892","","Dominic DeLuca","PENN STATE","00","LB","337","8","47","1","6","12"
"","145120","","374246","","Yannis Karlaftis","NWESTERN","14","LB","68","5","10","0","2","4"
"","145145","","380447","","Austin Dean","RUTGERS","47","LB","15","3","1","0","1","1"
"","145181","","386810","","Garrison Solliday","WISCONSIN","45","LB","4","1","1","0","0","0"
"","145382","","377173","","Wayne Matthews III","MICH STATE","10","LB","498","9","57","2","6","29"
"","145628","","386059","","Vaughn Pemberton","BOSTON COL","23","LB","1","1","0","0","0","0"
"","145978","","387250","","Andrew Simpson","N CAROLINA","02","LB","446","8","46","4","7","18"
"","146040","","359547","","Phoenix Jackson","BAYLOR","31","LB","68","3","11","0","3","2"
"","146136","","371953","","Alec Marenco","WAKE","44","LB","31","3","4","0","0","3"
"","146160","","380408","","Zyrus Fiaseu","ARIZONA ST","30","LB","101","4","9","0","3","7"
"","146280","","361917","","Eric Gentry","USC","18","LB","444","8","55","4","11","19"
"","146299","","366903","","Hunter Barth","STANFORD","23","LB","290","9","26","1","14","17"
"","146306","","366914","","Kaleb Elarms-Orr","TCU","03","LB","564","8","82","2","5","20"
"","146449","","361853","","Trey Reynolds","UTAH","37","LB","137","9","15","2","5","4"
"","146608","","361343","","Deontae Lawson","ALABAMA","00","LB","365","8","50","1","9","23"
"","146613","","370628","","Colin Bryant","S CAROLINA","45","LB","1","1","0","0","0","0"
"","146701","","368263","","Scooby Williams","TEXAS A&M","00","LB","162","6","17","3","4","6"
"","146724","","361556","","Xavian Sorey Jr.","ARKANSAS","10","LB","556","9","56","2","16","17"
"","146793","","422386","","Gabe Leonards","LSU","49","LB","3","1","0","0","0","0"
"","146852","","368499","","John Lewis","W VIRGINIA","12","LB","23","2","3","0","0","0"
"","146854","","384905","","Nic Mitchell","MISS STATE","40","LB","395","9","43","2","5","21"
"","146889","","359848","","Zachary Lovett","IOWA STATE","00","LB","91","8","9","0","0","4"
"","146924","","395323","","Andrew Colasurdo","S CAROLINA","28","LB","1","1","0","0","0","0"
"","147492","","376783","","Prince Kollie","VANDERBILT","20","LB","77","5","8","0","2","6"
"","147494","","366802","","Kahanu Kia","NOTRE DAME","43","LB","1","1","1","0","0","0"
"","147861","","381834","","Jack Kelly","BYU","17","LB","356","7","39","2","11","15"
"","150178","","363003","","Jake Golday","CINCINNATI","11","LB","509","9","81","0","7","25"
"","150923","","377302","","Jeremiah Brown","COLORADO","42","LB","359","8","54","5","5","20"
"","151086","","361995","","James Jackson","VIRGINIA","01","LB","348","9","38","0","7","14"
"","151095","","362013","","Jacob Rodriguez","TEXAS TECH","10","LB","473","9","78","7","13","34"
"","151101","","362019","","West Weeks","LSU","33","LB","344","7","49","4","5","15"
"","151172","","360769","","Luke Dillingham","TEXAS TECH","39","LB","24","2","0","0","0","1"
"","154624","","373900","","William Davis","W VIRGINIA","11","LB","4","1","0","0","0","0"
"","155289","","391722","","Caden Biser","W VIRGINIA","36","LB","24","2","1","0","0","0"
"","156237","","388509","","Wade Woodaz","CLEMSON","17","LB","443","8","53","2","6","31"
"","156240","","393313","","Kobe McCloud","CLEMSON","21","LB","111","8","13","1","1","12"
"","156243","","391377","","TJ Dottery","OLE MISS","06","LB","588","9","50","2","10","33"
"","156273","","385540","","AJ Cottrill","FLORIDA ST","41","LB","92","7","15","1","2","2"
"","156275","","385536","","Omar Graham Jr.","FLORIDA ST","09","LB","206","8","26","0","3","11"
"","156306","","393644","","Kyle Efford","GA TECH","44","LB","379","9","66","0","11","17"
"","156341","","385917","","Wesley Bissainthe","MIAMI FL","31","LB","290","8","33","1","9","21"
"","156405","","398983","","Kaiden Turner","INDIANA","14","LB","42","6","6","0","5","3"
"","156409","","398981","","Isaiah Jones","INDIANA","46","LB","318","9","42","7","7","24"
"","156434","","429652","","Landyn Van Kekerix","IOWA","23","LB","29","6","2","0","0","3"
"","156435","","412552","","Jayden Montgomery","IOWA","36","LB","175","6","24","1","5","6"
"","156454","","391387","","Caleb Wheatland","AUBURN","43","LB","5","2","0","0","0","0"
"","156458","","385722","","Ernest Hausmann","MICHIGAN","15","LB","448","9","72","3","6","34"
"","156486","","393506","","Gabe Powers","KANSAS ST","35","LB","144","8","12","0","1","7"
"","156507","","406867","","Moses Walker","RUTGERS","02","LB","137","4","15","2","0","2"
"","156725","","386843","","Aiden Fisher","INDIANA","04","LB","371","8","49","3","7","23"
"","156889","","391588","","Bryan McCoy Jr.","OKLA STATE","05","LB","487","9","65","1","11","20"
"","156945","","385550","","Keyshaun Elliott","ARIZONA ST","44","LB","456","9","78","7","14","25"
"","156972","","399715","","Jaylen Sneed","NOTRE DAME","03","LB","191","8","28","2","2","8"
"","157005","","393239","","Jeremiah Alexander","CLEMSON","35","LB","100","7","14","0","1","7"
"","157006","","393249","","Shawn Murphy","S CAROLINA","07","LB","298","9","31","1","6","17"
"","157027","","393327","","Mani Powell","PURDUE","16","LB","557","9","76","4","17","21"
"","157032","","386636","","Jordan Crook","ARIZONA ST","08","LB","446","9","76","5","12","20"
"","157047","","394654","","Robert Woodyard Jr.","AUBURN","00","LB","320","9","56","6","5","11"
"","157075","","396975","","Terrell Foster","GEORGIA","30","LB","59","5","6","0","0","3"
"","157120","","388800","","Harold Perkins Jr.","LSU","07","LB","476","8","35","3","8","24"
"","157136","","391779","","Reginald Hughes","COLORADO","50","LB","407","9","42","1","0","19"
"","157169","","430093","","Carmycah Glass","HOUSTON","25","LB","235","9","17","0","2","7"
"","157253","","386763","","Devon Jackson","OREGON","26","LB","241","8","23","0","4","10"
"","157254","","393365","","Harrison Taggart","CAL","07","LB","134","8","24","0","2","4"
"","157275","","406590","","Matt Rose","STANFORD","35","LB","461","9","87","4","9","23"
"","157288","","385959","","Namdi Obiazor","TCU","04","LB","449","8","58","0","3","21"
"","157329","","397758","","Wesley Smith","TEXAS TECH","40","LB","25","3","5","0","0","2"
"","157332","","395549","","Ben Roberts","TEXAS TECH","13","LB","506","9","57","2","4","25"
